frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065137.418577096","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065137.459480964","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.523321620","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065137.523322140","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065137.523360224","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.524781559","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.525048549","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065137.525062621","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.529426995","127.0.0.1","127.0.0.1","34719","57662","524","0x0018"
"1784065137.529447836","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.536030423","127.0.0.1","127.0.0.1","57668","34719","542","0x0018"
"1784065137.537461245","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.579457046","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.615908457","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784065137.615986657","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.617402179","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065137.659484950","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.659503405","127.0.0.1","127.0.0.1","57668","34719","947","0x0018"
"1784065137.659537646","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.661157379","127.0.0.1","127.0.0.1","34719","57668","206","0x0018"
"1784065137.663113536","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065137.670411947","127.0.0.1","127.0.0.1","34719","57668","252","0x0018"
"1784065137.671853336","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065137.673110737","127.0.0.1","127.0.0.1","34719","57668","727","0x0018"
"1784065137.674187199","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
